time	x
122	-0.0024669
123	-0.0024724
124	-0.0024931
125	-0.0024997
126	-0.0025077
127	-0.0024718
128	-0.0024891
129	-0.0024836
130	-0.0025117
131	-0.0024858
132	-0.0024689
133	-0.0024789
134	-0.0025234
135	-0.0025165
136	-0.0025141
137	-0.0025172
138	-0.0025037
139	-0.0025334
140	-0.0025322
141	-0.0024797
142	-0.0024174
143	-0.0024614
144	-0.0024883
145	-0.002491
146	-0.0025089
147	-0.0025387
148	-0.0025422
149	-0.0025317
150	-0.0025335
151	-0.0025452
152	-0.0025459
153	-0.002565
154	-0.0025514
155	-0.0025652
156	-0.0025354
157	-0.0025361
158	-0.0025257
159	-0.0025331
160	-0.0025207
161	-0.0024805
162	-0.0025009
163	-0.0025146
164	-0.00254
165	-0.0025056
166	-0.0025154
167	-0.0025026
168	-0.0024986
169	-0.0025213
170	-0.002531
171	-0.0025437
172	-0.0025665
173	-0.0025671
174	-0.0025751
175	-0.0025622
176	-0.0025752
177	-0.0025803
178	-0.0025847
179	-0.0025609
180	-0.0025545
181	-0.002511
182	-0.0025196
183	-0.0025315
184	-0.0025277
185	-0.0025103
186	-0.0025326
187	-0.0025376
188	-0.0025194
189	-0.0025417
190	-0.0024991
191	-0.0025038
192	-0.0025146
193	-0.0025537
194	-0.0025622
195	-0.0025886
196	-0.0026046
197	-0.0025825
198	-0.0025824
199	-0.0026023
200	-0.002594
201	-0.0025898
202	-0.0026217
203	-0.0026095
204	-0.0026481
205	-0.0026684
206	-0.0026953
207	-0.0027031
208	-0.0027076
209	-0.0026596
210	-0.0026768
211	-0.0026999
212	-0.0026501
213	-0.0026359
214	-0.0026291
215	-0.0026309
216	-0.0026121
217	-0.0026674
218	-0.002696
219	-0.0026996
220	-0.0027098
221	-0.0026875
222	-0.002684
223	-0.0027197
224	-0.0027279
225	-0.0027473
226	-0.0027543
227	-0.0027616
228	-0.0028087
229	-0.0028126
230	-0.0028215
231	-0.0028046
232	-0.0027737
233	-0.0027369
234	-0.0027286
235	-0.0027236
236	-0.002739
237	-0.0027527
238	-0.0027462
239	-0.0027397
240	-0.002729
241	-0.0027355
242	-0.0026927
243	-0.0026519
244	-0.0026371
245	-0.0026554
246	-0.0026986
247	-0.0027619
248	-0.0027596
249	-0.0027641
250	-0.0027007
251	-0.0027432
252	-0.0027583
253	-0.0027672
254	-0.002737
255	-0.0026927
256	-0.0026884
257	-0.0027106
258	-0.0027346
259	-0.0027739
260	-0.0027651
261	-0.0027377
262	-0.0027418
263	-0.0027674
264	-0.0027887
265	-0.0028263
266	-0.0028267
267	-0.0028115
268	-0.002801
269	-0.0027955
270	-0.0027502
271	-0.0027537
272	-0.0027303
273	-0.0027239
274	-0.0027269
275	-0.0027252
276	-0.0027282
277	-0.0027362
278	-0.002734
279	-0.0027434
280	-0.0028027
281	-0.0027787
282	-0.0027988
283	-0.0027862
284	-0.0027755
285	-0.0027365
286	-0.0027616
287	-0.0027895
288	-0.0027699
289	-0.0027411
290	-0.0027413
291	-0.002732
292	-0.0027365
293	-0.0027377
294	-0.0027774
295	-0.0027762
296	-0.0027434
297	-0.0027162
298	-0.0027401
299	-0.0027153
300	-0.0027263
301	-0.0027455
302	-0.0027423
303	-0.0027119
304	-0.0027516
305	-0.0027862
306	-0.0027716
307	-0.002767
308	-0.0027338
309	-0.002767
310	-0.0027847
311	-0.0027959
312	-0.0028046
313	-0.0027802
314	-0.0027672
315	-0.0027527
316	-0.0027732
317	-0.0027587
318	-0.0027613
319	-0.0027503
320	-0.0027535
321	-0.0027512
322	-0.0027338
323	-0.0027464
324	-0.0027383
325	-0.0027665
326	-0.0027563
327	-0.0027632
328	-0.0027806
329	-0.002764
330	-0.0027228
331	-0.0027255
332	-0.0027254
333	-0.0027455
334	-0.0027871
335	-0.0028237
336	-0.002872
337	-0.0028288
338	-0.0028408
339	-0.0028032
340	-0.0028402
341	-0.0028626
342	-0.0028437
343	-0.0027972
344	-0.0028127
345	-0.0027894
346	-0.0027713
347	-0.0027969
348	-0.0028101
349	-0.0027697
350	-0.0027491
351	-0.0027556
352	-0.0027112
353	-0.0027005
354	-0.0027015
355	-0.0026662
356	-0.0027118
357	-0.0027313
358	-0.0027188
359	-0.0027146
360	-0.0027437
361	-0.0027719
362	-0.0028268
363	-0.0028372
364	-0.0027816
365	-0.0028268
366	-0.0027991
367	-0.0028259
368	-0.0028386
369	-0.0028753
370	-0.0028779
371	-0.0028487
372	-0.0028687
373	-0.0028529
374	-0.0028261
375	-0.002813
376	-0.0027633
377	-0.0028105
378	-0.0028116
379	-0.002773
380	-0.0027917
381	-0.0027953
382	-0.0028297
383	-0.0028496
384	-0.0028078
385	-0.0027726
386	-0.0027357
387	-0.0026898
388	-0.0026958
389	-0.0027416
390	-0.0027518
391	-0.002776
392	-0.0027762
393	-0.0027735
394	-0.0027498
395	-0.0027139
396	-0.0026905
397	-0.0026888
398	-0.0026987
399	-0.0027085
400	-0.0027248
401	-0.002723
402	-0.0027299
403	-0.002726
404	-0.0027383
405	-0.0027423
406	-0.0027482
407	-0.0027399
408	-0.002727
409	-0.0027387
410	-0.0027494
411	-0.0027763
412	-0.002754
413	-0.0027271
414	-0.0027405
415	-0.0027289
416	-0.0027352
417	-0.0027252
418	-0.0027124
419	-0.0027109
420	-0.0027392
421	-0.0027425
422	-0.0027533
423	-0.0027003
424	-0.0027159
425	-0.0027196
426	-0.0027544
427	-0.0027822
428	-0.0027902
429	-0.0028175
430	-0.0028051
431	-0.0027953
432	-0.0027661
433	-0.0027589
434	-0.0027794
435	-0.0028392
436	-0.0028366
437	-0.0028349
438	-0.0028356
439	-0.0027986
440	-0.0027936
441	-0.0027587
442	-0.0027576
443	-0.0027395
444	-0.002783
445	-0.0027926
446	-0.0028009
447	-0.0027978
448	-0.0027924
449	-0.002798
450	-0.002769
451	-0.0027586
452	-0.0027717
453	-0.0027177
454	-0.0027011
455	-0.0026964
456	-0.0026569
457	-0.0026598
458	-0.0027241
459	-0.0027181
460	-0.0027293
461	-0.002713
462	-0.0027492
463	-0.0027357
464	-0.0027286
465	-0.0027105
466	-0.0026662
467	-0.0026395
468	-0.002612
469	-0.0026102
470	-0.002619
471	-0.0026229
472	-0.0026245
473	-0.0025696
474	-0.002555
475	-0.0025485
476	-0.0025518
477	-0.0025881
478	-0.0026076
479	-0.0026144
480	-0.0026417
481	-0.0026312
482	-0.0026052
483	-0.0026076
484	-0.0025774
485	-0.0025569
486	-0.0025323
487	-0.0025417
488	-0.0025585
489	-0.0025539
490	-0.002543
491	-0.0025624
492	-0.0025499
493	-0.0025394
494	-0.0025493
495	-0.0025325
496	-0.0025042
497	-0.0024943
498	-0.0025043
499	-0.0025056
500	-0.0025053
501	-0.0024857
502	-0.0025312
503	-0.0025448
504	-0.0025591
505	-0.0025631
506	-0.0025181
507	-0.0025146
508	-0.0024895
509	-0.0025339
510	-0.0025717
511	-0.0025695
512	-0.0025655
513	-0.0025421
514	-0.0025344
515	-0.0025113
516	-0.0024782
517	-0.002378
518	-0.0023202
519	-0.0022984
520	-0.0023718
521	-0.0023805
522	-0.0024053
523	-0.002386
524	-0.0023935
525	-0.0024007
526	-0.0024253
527	-0.0023953
528	-0.0024135
529	-0.0024005
530	-0.0024459
531	-0.0024383
532	-0.0024328
533	-0.0024
534	-0.0023632
535	-0.0023839
536	-0.0024355
537	-0.0024346
538	-0.0024575
539	-0.0024409
540	-0.0024091
541	-0.0023544
542	-0.0023052
543	-0.0022665
544	-0.0022213
545	-0.002168
546	-0.0021526
547	-0.0021249
548	-0.0021125
549	-0.0021273
550	-0.0021124
551	-0.0020778
552	-0.0020581
553	-0.0021134
554	-0.002112
555	-0.0020471
556	-0.0020279
557	-0.002
558	-0.0019762
559	-0.0019734
560	-0.0019943
561	-0.0019445
562	-0.0019383
563	-0.0019575
564	-0.0019752
565	-0.0019725
566	-0.0019465
567	-0.0019408
568	-0.0018961
569	-0.0018955
570	-0.0019684
571	-0.0019657
572	-0.001962
573	-0.0019536
574	-0.0019697
575	-0.0019366
576	-0.001895
577	-0.0019122
578	-0.0019378
579	-0.0019165
580	-0.0019284
581	-0.0019109
582	-0.001963
583	-0.0019641
584	-0.0019772
585	-0.0019647
586	-0.0019508
587	-0.0019116
588	-0.0018745
589	-0.0018273
590	-0.0017781
591	-0.0017834
592	-0.0017775
593	-0.0017684
594	-0.0017748
595	-0.0017867
596	-0.0017803
597	-0.0017543
598	-0.001754
599	-0.0017236
600	-0.0017011
601	-0.0016732
602	-0.0016577
603	-0.001678
604	-0.0016865
605	-0.0017146
606	-0.0016846
607	-0.0016366
608	-0.0016512
609	-0.0016906
610	-0.0016503
611	-0.0016485
612	-0.0016758
613	-0.0016339
614	-0.0015888
615	-0.0016009
616	-0.0015972
617	-0.0016154
618	-0.0015572
619	-0.0015701
620	-0.0016524
621	-0.0016914
622	-0.0017341
623	-0.0017497
624	-0.0017113
625	-0.0017042
626	-0.0016769
627	-0.0016564
628	-0.0016685
629	-0.0016918
630	-0.0016635
631	-0.001637
632	-0.0016049
633	-0.0016099
634	-0.0016185
635	-0.0015893
636	-0.0015807
637	-0.0015264
638	-0.001532
639	-0.0014893
640	-0.0014818
641	-0.0014668
642	-0.0014758
643	-0.0014902
644	-0.0014832
645	-0.0014675
646	-0.001479
647	-0.0014443
648	-0.0014445
649	-0.0014215
650	-0.0014116
651	-0.0013964
652	-0.0014274
653	-0.0013756
654	-0.0013827
655	-0.0013873
656	-0.0013426
657	-0.0013036
658	-0.0012706
659	-0.0012614
660	-0.0012801
661	-0.0012537
662	-0.0011998
663	-0.0012089
664	-0.0012196
665	-0.0011683
666	-0.001138
667	-0.0011437
668	-0.0011491
669	-0.0011611
670	-0.0011769
671	-0.0011786
672	-0.001159
673	-0.0011505
674	-0.0010987
675	-0.0010499
676	-0.0010368
677	-0.0010539
678	-0.0010666
679	-0.0010906
680	-0.0011091
681	-0.0011215
682	-0.0011254
683	-0.0011291
684	-0.0010925
685	-0.0010554
686	-0.0010547
687	-0.0010782
688	-0.0010915
689	-0.0011082
690	-0.0011151
691	-0.0010764
692	-0.0010265
693	-0.0010204
694	-0.0010072
695	-0.00099678
696	-0.0009875
697	-0.0010128
698	-0.00098853
699	-0.00096106
700	-0.00096205
701	-0.0009466
702	-0.00094726
703	-0.00088674
704	-0.00087355
705	-0.00083877
706	-0.00084038
707	-0.00078257
708	-0.00080949
709	-0.00082901
710	-0.00079357
711	-0.00077314
712	-0.0007656
713	-0.00075286
714	-0.00076421
715	-0.00075137
716	-0.00077653
717	-0.00077733
718	-0.00077475
719	-0.00078578
720	-0.00079372
721	-0.00083912
722	-0.00078179
723	-0.00075881
724	-0.00071686
725	-0.00068793
726	-0.00065415
727	-0.0006377
728	-0.00060843
729	-0.00057355
730	-0.00053065
731	-0.00049006
732	-0.0004202
733	-0.00038425
734	-0.00035052
735	-0.00035406
736	-0.00035678
737	-0.00035499
738	-0.00032807
739	-0.000316
740	-0.00033037
741	-0.0002916
742	-0.00032716
743	-0.00034753
744	-0.00034623
745	-0.00033208
746	-0.00037196
747	-0.00038456
748	-0.00034246
749	-0.00034714
750	-0.00032964
751	-0.00031512
752	-0.00030166
753	-0.00027611
754	-0.00027463
755	-0.00025792
756	-0.00023793
757	-0.00021325
758	-0.00018968
759	-0.00017733
760	-0.0001449
761	-0.00014223
762	-0.00011824
763	-9.9048e-005
764	-9.8285e-005
765	-0.00012281
766	-0.00010444
767	-8.7816e-005
768	-5.5414e-005
769	-3.9278e-005
770	-5.2018e-005
771	-2.8988e-005
772	5.5244e-006
773	-3.8114e-005
774	-3.5119e-005
775	-1.5102e-005
776	7.6259e-006
777	4.5707e-005
778	6.4166e-005
779	5.0569e-005
780	3.805e-005
781	2.6686e-005
782	8.4719e-005
783	0.0001147
